timestamp,datetime_utc,xrp_spread,bch_spread
1644678000000,2022-02-12T15:00:00+00:00,6249.7461275112655,-171.40349274651817
1644681600000,2022-02-12T16:00:00+00:00,5523.739351598058,-401.8645173397381
1644685200000,2022-02-12T17:00:00+00:00,5164.525804714947,-672.1892899308805
1644688800000,2022-02-12T18:00:00+00:00,5161.990927088307,-621.7312837015925
1644692400000,2022-02-12T19:00:00+00:00,5513.967319812757,-419.42403412642307
1644696000000,2022-02-12T20:00:00+00:00,5169.697116740332,-521.1421608151868
1644699600000,2022-02-12T21:00:00+00:00,5575.175865812715,-265.05666546722205
1644703200000,2022-02-12T22:00:00+00:00,5194.784817252199,-938.4584751101575
1644706800000,2022-02-12T23:00:00+00:00,5455.115296503376,-1575.7025817356262
1644710400000,2022-02-13T00:00:00+00:00,5403.645541250087,-1617.9391369495352
1644714000000,2022-02-13T01:00:00+00:00,5626.9829885393265,-1390.1303768169819
1644717600000,2022-02-13T02:00:00+00:00,5386.037522885192,-1304.1524315051429
1644721200000,2022-02-13T03:00:00+00:00,5419.290169892061,-1164.763912291528
1644724800000,2022-02-13T04:00:00+00:00,5535.0246583256885,-1266.7104377344367
1644728400000,2022-02-13T05:00:00+00:00,5222.679523238454,-1289.8330960953754
1644732000000,2022-02-13T06:00:00+00:00,5258.166093607579,-1198.0542438989287
1644735600000,2022-02-13T07:00:00+00:00,5368.252392035916,-1109.6762985870882
1644739200000,2022-02-13T08:00:00+00:00,5285.352333409799,-1102.0569631773324
1644742800000,2022-02-13T09:00:00+00:00,5262.9766816350675,-796.5330974708049
1644746400000,2022-02-13T10:00:00+00:00,5254.716618770995,-882.5074166196282
1644750000000,2022-02-13T11:00:00+00:00,5064.628315751434,-893.1548489471461
1644753600000,2022-02-13T12:00:00+00:00,5060.757062352175,-835.2113446190415
1644757200000,2022-02-13T13:00:00+00:00,5283.683473794787,-1245.6904972764532
1644760800000,2022-02-13T14:00:00+00:00,5523.397351244799,-1277.0324910471682
1644764400000,2022-02-13T15:00:00+00:00,5776.138359897348,-2202.029769017907
1644768000000,2022-02-13T16:00:00+00:00,6118.871467437246,-1912.5264474421492
1644771600000,2022-02-13T17:00:00+00:00,6003.814752621802,-1825.8125505891949
1644775200000,2022-02-13T18:00:00+00:00,6302.166077361071,-1436.1938216030612
1644778800000,2022-02-13T19:00:00+00:00,6257.10691013527,-1484.8509209477415
1644782400000,2022-02-13T20:00:00+00:00,5867.756694348951,-1704.2769008844552
1644786000000,2022-02-13T21:00:00+00:00,6117.001888062303,-1935.5022785238034
1644789600000,2022-02-13T22:00:00+00:00,6062.259264011547,-2107.0466883610934
1644793200000,2022-02-13T23:00:00+00:00,6051.859829082925,-2172.6264474421478
1644796800000,2022-02-14T00:00:00+00:00,6091.811639077634,-2135.508622589783
1644800400000,2022-02-14T01:00:00+00:00,6587.317402100329,-1420.2778105199177
1644804000000,2022-02-14T02:00:00+00:00,6491.4371760717695,-1061.4826454039357
1644807600000,2022-02-14T03:00:00+00:00,6482.391710417636,-770.1122528790729
1644811200000,2022-02-14T04:00:00+00:00,6480.930149407592,-855.023128617242
1644814800000,2022-02-14T05:00:00+00:00,6638.598347888801,-469.3853660577515
1644818400000,2022-02-14T06:00:00+00:00,6628.726470792048,-787.3146689456553
1644822000000,2022-02-14T07:00:00+00:00,6641.706968761384,-604.953339765183
1644825600000,2022-02-14T08:00:00+00:00,6819.940406868183,-491.1430690752168
1644829200000,2022-02-14T09:00:00+00:00,7045.759130512801,-492.37902061635396
1644832800000,2022-02-14T10:00:00+00:00,6891.3828550405815,-428.95394481338735
1644836400000,2022-02-14T11:00:00+00:00,6902.287370668288,-561.6614976003766
1644840000000,2022-02-14T12:00:00+00:00,6721.91944412786,-805.8488067175567
1644843600000,2022-02-14T13:00:00+00:00,6710.0781635345265,-829.9442750453672
1644847200000,2022-02-14T14:00:00+00:00,6625.235598109888,-951.1343048163762
1644850800000,2022-02-14T15:00:00+00:00,6730.650195319824,-724.7128551764326
1644854400000,2022-02-14T16:00:00+00:00,6794.194317516543,-1154.9324910471696
1644858000000,2022-02-14T17:00:00+00:00,6963.365298975019,-1545.721613933565
1644861600000,2022-02-14T18:00:00+00:00,6835.3957782262005,-1541.4472947847316
1644865200000,2022-02-14T19:00:00+00:00,6897.1525516677575,-1472.4451805545468
1644868800000,2022-02-14T20:00:00+00:00,6552.29566097397,-1371.8062078986331
1644872400000,2022-02-14T21:00:00+00:00,6570.221955164343,-1435.1409507187564
1644876000000,2022-02-14T22:00:00+00:00,6788.852199911053,-1289.450919572315
1644879600000,2022-02-14T23:00:00+00:00,6715.5028423266995,-1269.90560285042
1644883200000,2022-02-15T00:00:00+00:00,6719.910919317714,-1153.2844550468653
1644886800000,2022-02-15T01:00:00+00:00,6468.359301447868,-1280.7491044276758
1644890400000,2022-02-15T02:00:00+00:00,6705.760586279161,-1175.6491044276772
1644894000000,2022-02-15T03:00:00+00:00,6751.434292088787,-950.6364162957107
1644897600000,2022-02-15T04:00:00+00:00,6781.4780837186045,-823.9729728850507
1644901200000,2022-02-15T05:00:00+00:00,6848.8647127138465,-629.1173840977717
1644904800000,2022-02-15T06:00:00+00:00,6900.836413932251,-474.6660251462745
1644908400000,2022-02-15T07:00:00+00:00,6755.799414462141,-576.5131542619711
1644912000000,2022-02-15T08:00:00+00:00,6930.623645435175,-666.7711591158295
1644915600000,2022-02-15T09:00:00+00:00,7034.291278845012,-765.0418534770797
1644919200000,2022-02-15T10:00:00+00:00,7003.074948984635,-909.4968372161529
1644922800000,2022-02-15T11:00:00+00:00,7073.194840208322,-608.15242737886
1644926400000,2022-02-15T12:00:00+00:00,6980.801301801126,-680.7554484936554
1644930000000,2022-02-15T13:00:00+00:00,7111.559632014767,-551.9895876409864
1644933600000,2022-02-15T14:00:00+00:00,7192.167767631901,-454.98928580458596
1644937200000,2022-02-15T15:00:00+00:00,7306.489722072925,-751.3318832480945
1644940800000,2022-02-15T16:00:00+00:00,7198.216016263301,-810.9796174119983
1644944400000,2022-02-15T17:00:00+00:00,7217.152567914272,-819.275992624418
1644948000000,2022-02-15T18:00:00+00:00,7276.036296680009,-716.3046932149518
1644951600000,2022-02-15T19:00:00+00:00,7104.032228871445,-759.3282584605113
